type_chaussure,price,adress,url_image
Chaussures homme,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5661679_uploaded_image1_1765195127.jpg
Chaussures hommes,17 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5662466_uploaded_image1_1765222050.jpg
Baskets homme,6 500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5662700_uploaded_image2_1765231883.jpeg
Mocassins Croco,5 500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5662701_uploaded_image1_1765232143.jpg
Sandales orthopédique,15 000,"Dakar, Sénégal",https://images.coinafrique.com/5662788_uploaded_image1_1765241793.jpg
Baskets Adidas,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5662790_uploaded_image1_1765241874.jpg
Chaussures  homme,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5662799_uploaded_image1_1765242068.jpg
Chaussures  homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5662809_uploaded_image1_1765242541.jpg
Chaussures  homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5662812_uploaded_image1_1765242670.jpg
Sandales homme,3 500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5663265_uploaded_image1_1765271794.jpg
Chaussures homme,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5663585_uploaded_image1_1765284255.jpg
Chaussures homme,70 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5663750_uploaded_image1_1765287759.jpg
Chaussures  homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5664827_uploaded_image1_1765327495.jpg
Chaussures homme,10 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5668243_uploaded_image1_1765485052.jpg
Chaussures Timberland,35 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5670337_uploaded_image1_1765587558.jpg
Chaussures homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5670338_uploaded_image1_1765587712.jpg
Sandales hommes,20 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5670966_uploaded_image1_1765632751.jpg
Chaussures  homme,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5671802_uploaded_image1_1765707912.jpg
Baskets Dior B30,28 000,"Dakar, Sénégal",https://images.coinafrique.com/5675946_uploaded_image1_1765915137.jpg
Baskets Vans Old Skool,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5675964_uploaded_image1_1765915814.jpg
Chaussures  homme,17 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5678764_uploaded_image1_1766057124.jpg
Chaussures  homme,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5678785_uploaded_image1_1766057863.jpg
Chaussures de ville Berlutti,17 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5679637_uploaded_image1_1766094709.jpg
Chaussures  homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5680272_uploaded_image1_1766140107.jpg
Chaussures Timberland,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5680600_uploaded_image2_1766150893.jpeg
Chaussures homme,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5682378_uploaded_image1_1766244875.jpg
Chaussures homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5682391_uploaded_image1_1766245145.jpg
Baskets New Balance,15 000,"Dakar, Sénégal",https://images.coinafrique.com/5683536_uploaded_image1_1766325755.jpg
Baskets New Balance,15 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5683537_uploaded_image1_1766325898.jpg
Chaussures en cuir,17 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5683541_uploaded_image1_1766326033.jpg
Chaussures hommes,12 000,"Rufisque, Sénégal",https://images.coinafrique.com/5684967_uploaded_image1_1766411263.jpg
Baskets homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/5684984_uploaded_image1_1766412191.jpg
Chaussures  homme,16 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5686359_uploaded_image1_1766491043.jpg
Chaussures  homme,10 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/5686549_uploaded_image1_1766499161.jpg
Mocassins homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5691943_uploaded_image1_1766843848.jpg
Babouches Kubok,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5691946_uploaded_image1_1766844142.jpg
Babouches Mercedes,18 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5691951_uploaded_image1_1766844530.jpg
Chaussures orthopédique,20 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5696622_uploaded_image1_1767118569.jpg
Crocs,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5698297_uploaded_image1_1767266322.jpg
Chaussures homme,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5698972_uploaded_image1_1767319318.jpg
Chaussures homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5698973_uploaded_image1_1767319435.jpg
Chaussures homme,35 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5698975_uploaded_image1_1767319515.jpg
Chaussures homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/5698976_uploaded_image1_1767319672.jpg
Chaussures  homme,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5698977_uploaded_image1_1767319747.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5698978_uploaded_image2_1767319835.jpeg
Chaussures  homme,15 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/5699778_uploaded_image1_1767367167.jpg
Lacoste Gripshot,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5683928_uploaded_image1_1766347979.jpg
Nike Air force 1,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5683935_uploaded_image1_1766348133.jpg
Vans,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5683921_uploaded_image1_1766347767.jpg
Lacoste Gripshot,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5683925_uploaded_image1_1766347889.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5677885_uploaded_image1_1766004784.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5677887_uploaded_image1_1766004839.jpg
Louis vuitton,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5677903_uploaded_image1_1766005102.jpg
Louis vuitton,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5677901_uploaded_image1_1766005049.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5677883_uploaded_image1_1766004732.jpg
Baskets Vomero 5 Grey,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5670080_uploaded_image1_1765572066.jpg
Louis vuitton,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5677899_uploaded_image1_1766005001.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/5677895_uploaded_image1_1766004947.jpg
