type_habits,price,adress,url_image
Jalabe  royale,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5530302_uploaded_image1_1758114976.jpg
Polo,5 500,"Pikine, Sénégal",https://images.coinafrique.com/5530347_uploaded_image1_1758116944.jpg
Jallabe homme,15 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5481158_uploaded_image1_1755533660.jpg
Chemise africaine,13 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5539551_uploaded_image2_1758628464.jpeg
Boubou africain homme,20 000,"Gueule Tapée, Dakar, Sénégal",https://images.coinafrique.com/5544660_uploaded_image1_1758889073.jpg
Ensemble Short,9 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5549382_uploaded_image1_1759190460.jpg
Lacostes en coton venant de la turquie,12 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5553333_uploaded_image1_1759343010.jpg
Lacostes homme,12 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5553349_uploaded_image1_1759343446.jpg
Costume africain,30 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5560169_uploaded_image1_1759703026.jpg
T-shirt en coton,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5561956_uploaded_image1_1759797106.jpg
Caleçons,7 000,"Keur Massar, Sénégal",https://images.coinafrique.com/5563903_uploaded_image1_1759891202.jpg
Costume africain,75 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5565386_uploaded_image1_1759971775.jpg
Patolo pour homme,10 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5524480_uploaded_image1_1757810630.jpg
Patolon pour homme,10 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5524496_uploaded_image1_1757811429.jpg
Abimen homme,30 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5569789_uploaded_image1_1760221691.jpg
Vêtements de pluie,2 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5523711_uploaded_image1_1757769579.jpg
Vêtements homme,10 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/5570642_uploaded_image1_1760291454.jpg
Vêtements homme,10 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5573636_uploaded_image1_1760452221.jpg
Blouson,13 500,"Diamniadio, Sénégal",https://images.coinafrique.com/5574075_uploaded_image1_1760470253.jpg
Kargo,8 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5527932_uploaded_image1_1758015495.jpg
Pantalon coton,10 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5527936_uploaded_image1_1758015699.jpg
Emsemble coton par taille,8 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5527950_uploaded_image1_1758015984.jpg
Tee-shirts,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5583295_uploaded_image1_1760984169.jpg
Boubou homme,20 000,"Gueule Tapée, Dakar, Sénégal",https://images.coinafrique.com/5583429_uploaded_image1_1760991166.jpg
Blouson,9 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5585179_uploaded_image1_1761084798.jpg
T-shirts,4 500,"Dakar, Sénégal",https://images.coinafrique.com/5586869_uploaded_image1_1761171855.jpg
T-shirts Kaddù dund,4 500,"Dakar, Sénégal",https://images.coinafrique.com/5586874_uploaded_image1_1761172153.jpg
Costumes africains,30 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/5547717_uploaded_image1_1759098205.jpg
Ensemble blouson,25 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5588312_uploaded_image1_1761261836.jpg
Ensemble nike tech,30 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5588318_uploaded_image1_1761262014.jpg
Survêtement Nike,50 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5588324_uploaded_image1_1761262516.jpg
Survêtement Nike,60 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5588326_uploaded_image1_1761262675.jpg
Polo,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5555324_uploaded_image1_1759429771.jpg
Sous vêtements,1 500,"Dakar, Sénégal",https://images.coinafrique.com/5548980_uploaded_image1_1759170623.jpg
Lacoste,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5548975_uploaded_image1_1759170491.jpg
